ts_iso,tMono_s,kind,accLong_ms2,accLat_ms2,accVert_ms2,lat,lng,speed_ms,gpsAcc_m
2026-05-01T19:09:54.557Z,9535.154225,gps,,,,-15.745963,-47.850021,,3.220527
2026-05-01T19:09:54.556Z,9535.152643,imu,-0.922695,-0.724539,0.060005,,,,
2026-05-01T19:09:54.563Z,9535.160048,imu,-0.889213,-0.715077,0.036966,,,,
2026-05-01T19:09:54.570Z,9535.166463,gps,,,,-15.745963,-47.850021,,13.895014
2026-05-01T19:09:54.573Z,9535.169970,imu,-1.002166,-0.763800,0.104748,,,,
2026-05-01T19:09:54.575Z,9535.172276,gps,,,,-15.745954,-47.850003,,12.705786
2026-05-01T19:09:54.583Z,9535.179765,imu,-1.154352,-0.802262,0.195206,,,,
2026-05-01T19:09:54.591Z,9535.187533,gps,,,,-15.745954,-47.850003,,12.705273
2026-05-01T19:09:54.593Z,9535.189724,imu,-1.229107,-0.797335,0.303552,,,,
2026-05-01T19:09:54.603Z,9535.199568,imu,-1.233735,-0.785017,0.431752,,,,
2026-05-01T19:09:54.613Z,9535.209462,imu,-1.256471,-0.763537,0.504742,,,,
2026-05-01T19:09:54.623Z,9535.220073,imu,-1.288976,-0.707682,0.554333,,,,
2026-05-01T19:09:54.633Z,9535.229465,imu,-1.341095,-0.719684,0.522014,,,,
2026-05-01T19:09:54.643Z,9535.239399,imu,-1.366335,-0.762812,0.394981,,,,
2026-05-01T19:09:54.653Z,9535.249411,imu,-1.359407,-0.810665,0.298932,,,,
2026-05-01T19:09:54.663Z,9535.259472,imu,-1.277346,-0.898687,0.132768,,,,
2026-05-01T19:09:54.673Z,9535.269753,imu,-1.218562,-0.938827,-0.096664,,,,
2026-05-01T19:09:54.682Z,9535.279195,imu,-1.179273,-0.993337,-0.240786,,,,
2026-05-01T19:09:54.692Z,9535.289184,imu,-1.110796,-1.018410,-0.337757,,,,
2026-05-01T19:09:54.702Z,9535.299157,imu,-1.043341,-1.003517,-0.363718,,,,
2026-05-01T19:09:54.712Z,9535.309175,imu,-0.945960,-0.946169,-0.378128,,,,
2026-05-01T19:09:54.722Z,9535.319142,imu,-0.811316,-0.943131,-0.377872,,,,
2026-05-01T19:09:54.732Z,9535.328993,imu,-0.701824,-0.920182,-0.332079,,,,
2026-05-01T19:09:54.742Z,9535.338899,imu,-0.642951,-0.882744,-0.278898,,,,
2026-05-01T19:09:54.752Z,9535.348925,imu,-0.627246,-0.871645,-0.279461,,,,
2026-05-01T19:09:54.762Z,9535.358893,imu,-0.669764,-0.861193,-0.318525,,,,
2026-05-01T19:09:54.772Z,9535.368892,imu,-0.745498,-0.849209,-0.309100,,,,
2026-05-01T19:09:54.782Z,9535.378698,imu,-0.803913,-0.864084,-0.226388,,,,
2026-05-01T19:09:54.792Z,9535.388635,imu,-0.775286,-0.828499,-0.174015,,,,
2026-05-01T19:09:54.802Z,9535.398595,imu,-0.680772,-0.776196,-0.142108,,,,
2026-05-01T19:09:54.812Z,9535.408450,imu,-0.538116,-0.696907,-0.087050,,,,
2026-05-01T19:09:54.822Z,9535.418560,imu,-0.471835,-0.553161,-0.099037,,,,
2026-05-01T19:09:54.832Z,9535.428571,imu,-0.459816,-0.403588,-0.185666,,,,
2026-05-01T19:09:54.842Z,9535.438406,imu,-0.471246,-0.359421,-0.375361,,,,
2026-05-01T19:09:54.852Z,9535.448413,imu,-0.543476,-0.376387,-0.711484,,,,
2026-05-01T19:09:54.862Z,9535.458429,imu,-0.607506,-0.386199,-1.094780,,,,
2026-05-01T19:09:54.872Z,9535.469163,imu,-0.635404,-0.399905,-1.360901,,,,
2026-05-01T19:09:54.881Z,9535.478197,imu,-0.606562,-0.377768,-1.555724,,,,
2026-05-01T19:09:54.892Z,9535.488348,imu,-0.539910,-0.286737,-1.606076,,,,
2026-05-01T19:09:54.901Z,9535.498056,imu,-0.460722,-0.148115,-1.546843,,,,
2026-05-01T19:09:54.911Z,9535.508047,imu,-0.403924,-0.008760,-1.401180,,,,
2026-05-01T19:09:54.921Z,9535.518249,imu,-0.349052,0.043707,-1.116425,,,,
2026-05-01T19:09:54.931Z,9535.528022,imu,-0.246783,0.076741,-0.763197,,,,
2026-05-01T19:09:54.941Z,9535.537909,imu,-0.116316,0.155002,-0.363465,,,,
2026-05-01T19:09:54.951Z,9535.548045,imu,0.039847,0.264201,0.071631,,,,
2026-05-01T19:09:54.961Z,9535.557786,imu,0.163420,0.341584,0.511145,,,,
2026-05-01T19:09:54.971Z,9535.567776,imu,0.260464,0.385410,0.928797,,,,
2026-05-01T19:09:54.981Z,9535.577924,imu,0.300193,0.367196,1.249963,,,,
2026-05-01T19:09:54.991Z,9535.587735,imu,0.254308,0.252219,1.483178,,,,
2026-05-01T19:09:55.001Z,9535.597552,imu,0.227451,0.190602,1.609188,,,,
2026-05-01T19:09:55.011Z,9535.607665,imu,0.156190,0.154335,1.499594,,,,
2026-05-01T19:09:55.021Z,9535.617489,imu,0.025438,0.116697,1.217502,,,,
2026-05-01T19:09:55.033Z,9535.629566,imu,-0.132706,0.061121,0.865300,,,,
2026-05-01T19:09:55.041Z,9535.637559,imu,-0.223693,0.020301,0.541012,,,,
2026-05-01T19:09:55.051Z,9535.647383,imu,-0.301225,0.042745,0.284282,,,,
2026-05-01T19:09:55.060Z,9535.657274,imu,-0.315188,0.100160,0.173940,,,,
2026-05-01T19:09:55.071Z,9535.667438,imu,-0.298433,0.121610,0.302826,,,,
2026-05-01T19:09:55.080Z,9535.677226,imu,-0.262211,0.117827,0.534711,,,,
2026-05-01T19:09:55.090Z,9535.687081,imu,-0.092956,0.157557,0.830190,,,,
2026-05-01T19:09:55.100Z,9535.697244,imu,0.182585,0.227657,1.109216,,,,
